gene	CNT
GENE.25409	1316
GENE.47445	476
GENE.28018	2538
GENE.73130	4966
GENE.87262	1058
GENE.60350	366
GENE.52020	296
GENE.44243	1966
GENE.59402	836
GENE.28087	1798
GENE.51403	376
GENE.12552	550
GENE.18329	790
GENE.72410	132
GENE.25900	3476
GENE.38992	190
GENE.42988	548
GENE.12253	36
GENE.80204	418
GENE.4991	270
GENE.79184	66
GENE.34653	1198
GENE.19925	526
GENE.68965	3208
GENE.33099	218
GENE.70377	5280
GENE.4156	238
GENE.62497	322
GENE.83028	668
GENE.66952	72
GENE.1110	236
GENE.49495	166
GENE.66072	128
GENE.38925	386
GENE.40204	3042
GENE.36175	3168
GENE.17408	10
GENE.29657	1476
GENE.20247	306
GENE.64582	1914
GENE.76766	1450
GENE.7711	1044
GENE.67295	134
GENE.658	11490
GENE.24653	78
GENE.19390	2898
GENE.22910	1568
GENE.38920	370
GENE.83534	864
GENE.79706	610
GENE.54310	1428
GENE.51633	654
GENE.48370	4006
GENE.26667	2674
GENE.65965	58
GENE.44130	22
GENE.41523	1642
GENE.2871	268
GENE.4740	310
GENE.28003	178
GENE.74282	178
GENE.22636	488
GENE.77099	1770
GENE.70905	38
GENE.72630	314
GENE.16441	6294
GENE.74687	1162
GENE.18755	128
GENE.18162	4198
GENE.84613	180
GENE.26361	4786
GENE.30976	618
GENE.999	222
GENE.13728	778
GENE.49747	390
GENE.20754	600
GENE.12587	598
GENE.72983	1772
GENE.15708	514
GENE.82860	1732
GENE.13212	2264
GENE.52049	802
GENE.64630	716
GENE.50659	1032
GENE.45516	142
GENE.29872	646
GENE.71572	40
GENE.60316	202
GENE.21129	398
GENE.35336	522
GENE.77491	796
