gene	CNT
GENE.83699	420
GENE.58906	4150
GENE.62372	642
GENE.34665	3660
GENE.46212	3602
GENE.26679	4544
GENE.66743	39922
GENE.71813	177792
GENE.25188	72
GENE.84311	362
GENE.17655	722
GENE.27202	193410
GENE.59914	1122
GENE.14035	1470
GENE.25409	7066
GENE.82177	39624
GENE.47445	2620
GENE.28018	49346
GENE.73130	102228
GENE.87262	24404
GENE.60350	2134
GENE.52020	1710
GENE.44243	11886
GENE.59402	20210
GENE.28087	40196
GENE.12552	7282
GENE.51403	2050
GENE.18329	13930
GENE.72410	722
GENE.38992	3042
GENE.25900	81454
GENE.42988	15988
GENE.12253	202
GENE.80204	2592
GENE.4991	4686
GENE.79184	194
GENE.34653	6046
GENE.19925	3648
