gene	CNT
GENE.78360	23392
GENE.83563	35518
GENE.68189	14922
GENE.72711	6266
GENE.52051	48640
GENE.12874	2438
GENE.25310	5604
GENE.31453	140
GENE.21850	1650
GENE.70499	62040
GENE.22028	39028
GENE.85638	3508
GENE.59213	1160
GENE.44265	9026
GENE.20922	1408
GENE.24956	9288
GENE.78214	3772
GENE.56911	73454
GENE.37279	10116
GENE.10298	18610
GENE.38375	162
GENE.29813	3906
GENE.30009	127836
GENE.66379	1402
GENE.68389	9252
GENE.67883	11064
GENE.61910	11510
GENE.50998	154572
GENE.69690	4712
GENE.45962	5616
GENE.9186	1290
GENE.67692	12952
GENE.76364	85120
GENE.38865	8010
GENE.81698	12826
GENE.72940	572
GENE.47446	3046
GENE.71183	21960
GENE.49407	26858
GENE.85774	106796
GENE.27900	1784
GENE.1931	34470
GENE.82726	4496
GENE.83699	308
GENE.58906	3330
GENE.62372	560
GENE.34665	3510
GENE.46212	3422
GENE.26679	3814
GENE.66743	37718
GENE.71813	179282
GENE.25188	70
GENE.84311	318
GENE.17655	600
GENE.27202	188968
GENE.59914	972
GENE.14035	1354
GENE.25409	6538
GENE.82177	40172
GENE.47445	2482
GENE.28018	48722
GENE.73130	101326
GENE.87262	24998
GENE.60350	1874
GENE.52020	1398
GENE.44243	10146
GENE.59402	19954
GENE.28087	39870
GENE.51403	2028
GENE.12552	6828
GENE.18329	13702
GENE.72410	688
GENE.38992	3062
GENE.25900	82340
GENE.42988	16994
GENE.12253	200
GENE.80204	2260
GENE.4991	4560
GENE.79184	122
GENE.34653	5678
GENE.19925	3068
GENE.68965	82078
GENE.33099	532
GENE.70377	114404
